iter	Passed	Remaining
134	378336	13634129
135	381986	13661648
136	385797	13694414
137	388992	13704929
138	392267	13718063
139	395032	13713288
140	397671	13704159
141	400770	13710861
142	403656	13710199
143	406582	13710881
144	409531	13712251
145	412184	13703724
146	414944	13698813
147	418054	13705392
148	421076	13709007
149	423828	13703784
150	426309	13689914
151	429114	13686484
152	432487	13701092
153	435398	13700904
154	438330	13701357
155	441336	13704050
156	444162	13701142
157	446981	13697991
158	449386	13682260
159	452485	13687678
160	455639	13694661
161	458578	13695091
162	461363	13690889
163	464494	13696912
164	467455	13697848
165	470497	13701113
166	473943	13715989
167	477536	13734864
168	480597	13738266
169	483195	13728446
170	485946	13723007
171	488798	13720448
172	491751	13720714
173	494187	13706600
174	497208	13708756
175	499469	13690013
176	502257	13685812
177	504448	13665455
178	507250	13661751
179	510113	13659700
180	513028	13659038
181	515643	13650396
182	518680	13652922
183	521058	13638127
184	523621	13628308
185	526518	13627215
186	529169	13619744
187	532007	13617139
188	534829	13614103
189	537801	13614860
190	540658	13612694
191	543692	13614971
192	546594	13613876
193	549099	13602961
194	551446	13588212
195	553900	13576219
196	556854	13576500
197	560061	13582902
198	562994	13582599
199	565368	13568843
200	568183	13565724
201	570878	13559787
202	573904	13561672
203	576777	13559926
204	579785	13561322
205	582557	13557196
206	585377	13554186
207	587716	13540091
208	590505	13536418
209	593545	13538493
210	596702	13543166
211	600214	13555791
212	601817	13525345
213	604809	13526257
214	608040	13532427
215	611283	13538807
216	614044	13534455
217	617045	13535382
218	618621	13505149
219	621623	13506175
220	624407	13502463
221	627147	13497797
222	629641	13487871
223	631837	13471679
224	634222	13459612
225	636536	13446123
226	639336	13442974
227	642392	13445155
228	645123	13440551
229	648457	13448438
230	651767	13455757
231	655054	13462496
232	658198	13466234
233	661066	13464289
234	663651	13456593
235	666170	13447606
236	669106	13447060
237	671802	13441690
238	674389	13434170
239	676840	13423996
240	679258	13413233
241	681450	13398105
242	683914	13388392
243	686829	13387550
244	689526	13382441
245	692581	13384275
246	695195	13377579
247	698445	13383116
248	701794	13390465
249	705197	13398748
250	708503	13405112
251	711556	13406626
252	714238	13401142
253	717190	13400737
254	719506	13388458
255	721891	13377550
256	724265	13366496
257	727125	13364450
258	729203	13348084
259	731619	13337983
260	734015	13327587
261	736619	13321004
262	738942	13309402
263	741539	13302763
264	744195	13297228
265	746919	13292918
266	750099	13296703
267	753198	13299007
268	756116	13298091
269	758602	13289587
270	761036	13280229
271	763466	13270849
272	766565	13273090
273	769540	13273166
274	772462	13272310
275	775373	13271242
276	778889	13280482
277	781908	13281201
278	785090	13284636
279	788437	13290798
280	791563	13293189
281	794772	13296945
282	797870	13298789
283	800942	13300160
284	803959	13300594
285	807128	13303513
286	810974	13317499
287	814198	13321200
288	819355	13356347
289	823073	13367853
290	826463	13373945
291	829493	13374161
292	832493	13373874
293	835538	13374303
294	838389	13371596
295	842014	13381196
296	845664	13391111
297	849648	13406205
298	853328	13416377
299	856515	13418741
300	859746	13421751
301	862476	13416942
302	865009	13409067
303	868120	13410171
304	870534	13400525
305	873221	13395103
306	876747	13402532
307	880170	13408309
308	883720	13415965
309	886482	13411625
310	889547	13411858
311	892787	13414710
312	895783	13413851
313	898775	13412937
314	901548	13408744
315	904342	13404872
316	906748	13395284
317	909242	13387018
318	911896	13381151
319	914403	13373153
320	916958	13365878
321	919977	13365389
322	923378	13370402
323	926172	13366606
324	929488	13370341
325	932614	13371291
326	936405	13381727
327	939753	13385760
328	942813	13385657
329	945408	13378966
330	948426	13378262
331	951293	13375421
332	954113	13371910
333	957006	13369439
334	960125	13370108
335	963003	13367402
336	965381	13357783
337	968211	13354441
338	971231	13353723
339	974537	13356902
340	978052	13362891
341	980780	13358109
342	983864	13358189
343	986910	13357722
344	990134	13359643
345	992685	13352483
346	995617	13350460
347	998650	13349774
348	1001814	13350823
349	1004817	13349721
350	1007813	13348508
351	1010606	13344602
352	1013341	13339937
353	1016730	13343864
354	1020221	13349094
355	1023073	13345930
356	1025433	13336380
357	1028375	13334412
358	1030764	13325291
359	1033793	13324448
360	1036358	13317641
361	1039273	13315332
362	1042175	13312864
363	1045115	13310865
364	1048209	13310827
365	1050924	13305963
366	1053840	13303660
367	1056964	13303967
368	1060001	13303156
369	1062365	13293929
370	1065276	13291547
371	1067793	13284273
372	1070405	13278194
373	1073544	13278657
374	1076443	13276130
375	1079427	13274660
376	1082094	13269287
377	1084654	13262625
378	1087904	13264393
379	1091586	13271391
380	1095033	13275486
381	1097922	13272784
382	1100435	13265565
383	1102920	13258025
384	1105802	13255267
385	1108776	13253610
386	1111483	13248765
387	1114635	13249227
388	1117733	13249015
389	1120643	13246575
390	1123577	13244416
391	1126553	13242756
392	1129661	13242618
393	1132756	13242331
394	1136069	13244559
395	1138648	13238227
396	1141692	13237305
397	1144166	13229783
398	1146720	13223214
399	1149672	13221237
400	1152723	13220382
401	1156066	13222870
402	1158985	13220482
403	1161941	13218527
404	1164704	13214362
405	1167196	13207140
406	1170040	13203917
407	1172715	13198803
408	1175283	13192481
409	1178330	13191550
410	1181859	13195998
411	1185213	13198442
412	1188804	13203501
413	1191849	13202471
414	1194673	13198984
415	1197235	13192613
416	1199592	13184014
417	1202204	13178227
418	1204472	13168706
419	1207460	13167067
420	1210085	13161473
421	1214016	13170061
422	1217259	13171150
423	1220842	13175885
424	1223592	13171614
425	1226074	13164475
426	1229256	13164848
427	1232179	13162440
428	1235600	13165332
429	1238871	13166609
430	1242354	13170109
431	1246197	13177387
432	1249084	13174525
433	1252822	13180620
434	1257077	13192085
435	1260388	13193607
436	1263639	13194482
437	1267045	13196948
438	1270843	13203459
439	1274431	13207748
440	1278269	13214577
441	1281206	13212084
442	1284645	13214743
443	1287479	13211162
444	1290598	13210504
445	1293886	13211571
446	1297212	13212990
447	1300109	13210039
448	1303480	13211894
449	1307135	13216593
450	1310181	13215115
451	1313746	13218846
452	1317122	13220656
453	1320235	13219805
454	1323040	13215862
455	1326249	13215958
456	1329610	13217551
457	1332801	13217431
458	1335672	13214141
459	1339107	13216405
460	1342615	13219370
461	1346206	13223129
462	1350423	13232983
463	1354184	13238323
464	1359278	13256619
465	1364052	13271701
466	1368028	13278953
467	1371421	13280518
468	1374529	13279300
469	1378093	13282472
470	1381275	13281949
471	1384342	13280299
472	1387527	13279785
473	1390826	13280340
474	1393716	13276980
475	1396809	13275559
476	1400053	13275561
477	1403174	13274386
478	1406400	13274187
479	1409684	13274528
480	1412939	13274584
481	1416322	13275819
482	1419408	13274256
483	1422463	13272403
484	1426114	13276096
485	1429329	13275704
486	1432331	13273326
487	1435145	13269213
488	1438084	13266253
489	1441090	13263915
490	1443798	13258836
491	1446347	13252303
492	1448881	13245657
493	1451700	13241622
494	1454411	13236617
495	1457656	13236458
496	1460925	13236511
497	1464452	13238887
498	1467540	13237277
499	1471495	13243462
500	1474975	13245337
501	1478085	13243884
502	1482205	13251450
503	1485867	13254881
504	1488962	13253238
505	1491642	13247905
506	1494728	13246183
507	1498022	13246292
508	1501252	13245827
509	1504028	13241347
510	1507389	13242022
511	1510619	13241527
512	1513614	13238965
513	1517045	13240208
514	1519916	13236552
515	1522943	13234261
516	1526219	13234121
517	1529096	13230517
518	1532366	13230319
519	1535237	13226664
520	1537934	13221516
521	1541303	13222139
522	1544432	13220698
523	1547470	13218471
524	1550893	13219520
525	1553881	13216851
526	1556594	13211855
527	1559873	13211659
528	1562805	13208513
529	1565733	13205341
530	1568708	13202556
531	1571601	13199088
532	1575310	13202465
533	1578526	13201683
534	1581583	13199570
535	1584370	13195202
536	1587199	13191197
537	1590356	13189904
538	1594142	13193825
539	1597077	13190679
540	1600107	13188316
541	1603025	13185030
542	1605736	13180054
543	1608150	13172641
544	1611108	13169704
545	1613949	13165809
546	1616569	13160115
547	1619536	13157258
548	1622431	13153814
549	1624933	13147188
550	1627911	13144428
551	1630822	13141122
552	1633835	13138637
553	1636956	13137015
554	1639847	13133552
555	1642536	13128472
556	1645520	13125761
557	1648568	13123550
558	1651553	13120841
559	1654579	13118454
560	1657460	13114915
561	1659946	13108257
562	1662909	13105379
563	1665634	13100626
564	1668568	13097526
565	1671430	13093854
566	1673930	13087361
567	1676525	13081621
568	1679653	13080041
569	1682502	13076288
570	1685449	13073304
571	1688370	13070113
572	1691005	13064718
573	1693768	13060309
574	1696806	13058033
575	1700287	13059150
576	1703341	13056983
577	1706067	13052298
578	1708562	13045863
579	1711596	13043548
580	1714080	13037042
581	1717080	13034471
582	1720083	13031919
583	1722626	13025891
584	1725512	13022459
585	1728316	13018411
586	1730826	13012155
587	1733582	13007767
588	1736531	13004819
589	1739506	13002075
590	1741989	12995651
591	1745357	12995838
592	1748241	12992414
593	1751625	12992699
594	1754156	12986651
595	1756821	12981610
596	1759768	12978660
597	1762324	12972831
598	1765304	12970125
599	1768291	12967469
600	1771207	12964292
601	1774102	12960965
602	1776747	12955818
603	1779403	12950758
604	1782660	12950074
605	1785859	12948952
606	1788910	12946758
607	1791515	12941341
608	1794768	12940606
609	1797230	12934169
610	1799784	12928400
611	1802410	12923168
612	1805362	12920271
613	1808240	12916843
614	1810649	12910076
615	1813284	12904935
616	1816076	12900909
617	1818629	12895197
618	1821183	12889503
619	1823877	12884808
620	1826913	12882535
621	1830268	12882501
622	1833625	12882466
623	1836331	12877859
624	1839024	12873172
625	1841418	12866397
626	1844426	12863921
627	1847115	12859215
628	1850014	12855982
629	1853437	12856387
630	1856901	12857053
631	1859783	12853693
632	1862704	12850602
633	1865765	12848470
634	1868891	12846790
635	1872121	12845813
636	1874931	12841953
637	1877455	12836144
638	1879859	12829528
639	1882876	12827097
640	1885546	12822304
641	1887933	12815598
642	1890650	12811142
643	1893043	12804502
644	1895558	12798690
645	1898581	12796324
646	1901782	12795147
647	1904856	12793112
648	1907697	12789510
649	1910147	12783291
650	1912629	12777303
651	1915158	12771641
652	1917638	12765656
653	1920273	12760717
654	1922692	12754352
655	1925614	12751322
656	1928706	12749422
657	1931802	12747545
658	1934841	12745291
659	1937653	12741542
660	1940390	12737296
661	1943255	12733901
662	1945852	12728753
663	1948297	12722615
664	1950833	12717085
665	1953279	12710978
666	1956101	12707329
667	1958591	12701524
668	1961486	12698351
669	1964012	12692799
670	1967188	12691446
671	1970779	12692756
672	1973720	12689876
