iter	Logloss
0	0.6761425271
1	0.6611250482
2	0.6477483902
3	0.6359391241
4	0.6253208669
5	0.6155919496
6	0.6069336524
7	0.5992361993
8	0.5923842815
9	0.5861929661
10	0.5806768046
11	0.5757503746
12	0.5711725003
13	0.5670853274
14	0.5634076787
15	0.5601032509
16	0.557096025
17	0.5543897958
18	0.5518803225
19	0.5496146094
20	0.547609049
21	0.5457769112
22	0.5439815061
23	0.542407606
24	0.540965495
25	0.5395806584
26	0.5384203687
27	0.5373122677
28	0.5362930322
29	0.5353764942
30	0.5345287386
31	0.5337368671
32	0.5329994612
33	0.5323666686
34	0.5317663846
35	0.5311826579
36	0.5306167696
37	0.5300758377
38	0.5296295782
39	0.5292114564
40	0.5287896209
41	0.5283892012
42	0.5280202479
43	0.5276544808
44	0.5273391177
45	0.5270521358
46	0.5267462884
47	0.5265419606
48	0.5262855966
49	0.526036434
50	0.5258362527
51	0.5256119106
52	0.525379439
53	0.5251961241
54	0.5250167636
55	0.5248093136
56	0.5246288783
57	0.5244768861
58	0.5243331486
59	0.5241895389
60	0.5240394159
61	0.5238942985
62	0.5237346765
63	0.5236097415
64	0.5234946653
65	0.5233700702
66	0.5232410725
67	0.5231322659
68	0.5230393535
69	0.5229400944
70	0.5228378369
71	0.5227383909
72	0.5226563474
73	0.5225562649
74	0.5224508747
75	0.5223590029
76	0.5222783943
77	0.5222112093
78	0.5221495204
79	0.5220736963
80	0.5219899244
81	0.5219119878
82	0.5218512126
83	0.5217787288
84	0.5217122979
85	0.5216436509
86	0.5215905272
87	0.521539133
88	0.5214669899
89	0.5214154476
90	0.5213635608
91	0.5213085134
92	0.5212631995
93	0.5212091754
94	0.5211648475
95	0.5211156267
96	0.521063934
97	0.5210018883
98	0.5209701703
99	0.5209227079
100	0.5208635912
101	0.5208164981
102	0.5207744072
103	0.5207339546
104	0.5206891171
105	0.520630183
106	0.520588988
107	0.5205503147
108	0.5205019478
109	0.520469048
110	0.5204226023
111	0.5203802483
112	0.5203506237
113	0.5202965067
114	0.5202547411
115	0.5202050853
116	0.5201689275
117	0.520139917
118	0.5200962221
119	0.5200537615
120	0.5200222812
121	0.5199901416
122	0.5199587881
123	0.5199247985
124	0.5198924378
125	0.5198670772
126	0.5198338736
127	0.5198021476
128	0.5197614674
129	0.5197211725
130	0.5196887813
131	0.5196529087
132	0.5196313569
133	0.5196053052
134	0.5195716997
135	0.5195475237
136	0.519515706
137	0.5194882642
138	0.5194565839
139	0.5194174197
140	0.5193754252
141	0.5193455232
142	0.5193116789
143	0.5192798175
144	0.5192544675
145	0.5192293106
146	0.5192045907
147	0.5191875067
148	0.5191492259
149	0.5191335272
150	0.5191083975
151	0.5190751918
152	0.5190382996
153	0.5190149738
154	0.51898339
155	0.5189625819
156	0.5189319918
157	0.5189002849
158	0.5188704314
159	0.5188348829
160	0.5188084084
161	0.5187846656
162	0.5187584089
163	0.5187345676
164	0.5187107803
165	0.5186938485
166	0.5186664719
167	0.5186462661
168	0.5186269967
169	0.5185985191
170	0.5185568939
171	0.518527557
172	0.5185053717
173	0.518487143
174	0.5184697302
175	0.5184459437
176	0.5184229028
177	0.5184003028
178	0.5183818586
179	0.5183567682
180	0.5183282467
181	0.5183101911
182	0.5182853457
183	0.5182742027
184	0.5182477904
185	0.5182249516
186	0.5182022395
187	0.5181752781
188	0.5181469476
189	0.5181288915
190	0.51810598
191	0.5180759585
192	0.5180579784
193	0.5180337299
194	0.518011602
195	0.5179930497
196	0.5179707497
197	0.5179495664
198	0.5179279585
199	0.5179103256
200	0.5178915422
201	0.5178733908
202	0.517847893
203	0.5178232178
204	0.5178081202
205	0.517787546
206	0.517774406
207	0.5177589276
208	0.517745769
209	0.5177248292
210	0.5176988776
211	0.5176826768
212	0.5176815816
213	0.5176663506
214	0.5176494016
215	0.5176272852
216	0.5176091333
217	0.5175896405
218	0.5175880199
219	0.5175727356
220	0.5175543488
221	0.5175381024
222	0.5175182824
223	0.5174973073
224	0.5174709429
225	0.5174539856
226	0.5174372737
227	0.5174256749
228	0.5174051717
229	0.517390292
230	0.517378212
231	0.5173604562
232	0.5173401554
233	0.5173236989
234	0.5173107406
235	0.5173017458
236	0.5172822568
237	0.5172705509
238	0.5172560548
239	0.5172460293
240	0.5172242777
241	0.5172223603
242	0.5172037602
243	0.5171949396
244	0.517178078
245	0.5171645655
246	0.5171543382
247	0.5171410189
248	0.5171248974
249	0.5171134489
250	0.5170979476
251	0.5170790689
252	0.5170618682
253	0.5170487871
254	0.5170337181
255	0.5170199946
256	0.5170061553
257	0.5169915878
258	0.5169718911
259	0.5169575054
260	0.5169392109
261	0.516922212
262	0.516911959
263	0.5169060075
264	0.5168895976
265	0.5168728609
266	0.5168582109
267	0.5168373059
268	0.5168233121
269	0.5168064462
270	0.5167953812
271	0.5167834195
272	0.5167694902
273	0.5167542197
274	0.5167411669
275	0.5167249227
276	0.5167087889
277	0.5166941746
278	0.516681216
279	0.5166595934
280	0.5166461962
281	0.5166316294
282	0.5166204407
283	0.5166072849
284	0.5165966049
285	0.5165831858
286	0.5165704891
287	0.5165569758
288	0.5165454559
289	0.5165339035
290	0.516524696
291	0.5165133309
292	0.5164981931
293	0.5164839672
294	0.5164701416
295	0.5164213357
296	0.5164110839
297	0.5163950943
298	0.516381969
299	0.5163682441
300	0.5163588413
301	0.5163499471
302	0.5163351285
303	0.5163150667
304	0.5162976449
305	0.5162853456
306	0.5162699609
307	0.5162546461
308	0.5162425378
309	0.5162174158
310	0.5162055253
311	0.5161918496
312	0.516180694
313	0.5161584924
314	0.5161370113
315	0.5161204366
316	0.5161059889
317	0.5160851072
318	0.5160720457
319	0.5160600764
320	0.5160483108
321	0.5160329574
322	0.516017746
323	0.5160069919
324	0.5159964831
325	0.5159855554
326	0.5159647732
327	0.5159477003
328	0.5159307047
329	0.5159172325
330	0.5159050071
331	0.5158925376
332	0.5158773643
333	0.5158628711
334	0.515847535
335	0.5158268971
336	0.5158113969
337	0.5157980699
338	0.5157872281
339	0.5157705873
340	0.5157534689
341	0.5157396854
342	0.5157272925
343	0.5157092872
344	0.5156957173
345	0.5156790333
346	0.5156675277
347	0.5156463105
348	0.515629667
349	0.5156169952
350	0.515599766
351	0.5155837775
352	0.5155687359
353	0.5155525527
354	0.5155410825
355	0.5155239916
356	0.5155105877
357	0.515498011
358	0.5154832059
359	0.5154719004
360	0.5154623181
361	0.5154280211
362	0.5154046898
363	0.5153947177
364	0.5153799935
365	0.5153641495
366	0.5153524078
367	0.5153371315
368	0.515322367
369	0.5153083212
370	0.5152947395
371	0.5152766267
372	0.5152577992
373	0.5152425811
374	0.5152260769
375	0.5152148164
376	0.515204503
377	0.5151928484
378	0.515180821
379	0.5151665159
380	0.5151516825
381	0.5151403802
382	0.5151275044
383	0.5151157983
384	0.5150938743
385	0.5150785662
386	0.5150604404
387	0.5150459944
388	0.5150336206
389	0.5150187246
390	0.5150079072
391	0.5149934385
392	0.5149792544
393	0.5149604219
394	0.5149468847
395	0.5149348597
396	0.5149183594
397	0.5149071229
398	0.5148855632
399	0.5148681331
400	0.5148517474
401	0.5148398852
402	0.514823132
403	0.5148039251
404	0.5147874415
405	0.5147716075
406	0.5147483716
407	0.5147308746
408	0.5147188239
409	0.5147029397
410	0.5146914244
411	0.5146831635
412	0.5146697856
413	0.5146567041
414	0.5146464653
415	0.5146333892
416	0.5146126646
417	0.5145886763
418	0.5145547195
419	0.5145400539
420	0.5145293241
421	0.5145204907
422	0.5145111907
423	0.5144966188
424	0.5144868304
425	0.5144719916
426	0.5144579358
427	0.5144434807
428	0.5144356788
429	0.514412361
430	0.5143967015
431	0.5143844102
432	0.5143738127
433	0.5143573278
434	0.5143459224
435	0.5143324487
436	0.5143149073
437	0.5143030245
438	0.5142820473
439	0.514271732
440	0.5142539932
441	0.5142382582
442	0.5142251724
443	0.5142101996
444	0.5141938105
445	0.5141818512
446	0.5141688458
447	0.5141559408
448	0.5141364742
449	0.5141142711
450	0.5141031051
451	0.5140929134
452	0.514066746
453	0.5140598295
454	0.5140310296
455	0.514019145
456	0.5139977476
457	0.5139785136
458	0.5139667771
459	0.5139505922
460	0.513939429
461	0.5139267838
462	0.5139097922
463	0.5138901273
464	0.5138766493
465	0.5138675833
466	0.513855217
467	0.5138414539
468	0.5138260626
469	0.5138116058
470	0.5137940631
471	0.5137869812
472	0.5137732953
473	0.5137602666
474	0.5137452987
475	0.513714226
476	0.5137038421
477	0.5136909847
478	0.5136768839
479	0.5136413962
480	0.5136235493
481	0.5136016545
482	0.5135919689
483	0.5135804182
484	0.513568275
485	0.5135595376
486	0.5135483692
487	0.5135355166
488	0.5135236367
489	0.513509404
490	0.5134970549
491	0.5134735768
492	0.5134566243
493	0.5134462495
494	0.5134342426
495	0.5134135639
496	0.5134030857
497	0.5133937097
498	0.5133825597
499	0.5133698575
500	0.5133609935
501	0.513352881
502	0.5133413816
503	0.5133254436
504	0.5133119678
505	0.5133014904
506	0.5132890201
507	0.5132749358
508	0.5132531692
509	0.5132424066
510	0.5132286544
511	0.5132121418
512	0.5131991626
513	0.5131911522
514	0.5131814155
515	0.51316798
516	0.5131519818
517	0.5131408474
518	0.5131303826
519	0.513117582
520	0.5131052244
521	0.5130823414
522	0.5130722502
523	0.5130618228
524	0.5130508061
525	0.5130377104
526	0.5130167747
527	0.5130004256
528	0.5129775078
529	0.5129693728
530	0.5129556478
531	0.5129402379
532	0.5129294708
533	0.5129209063
534	0.5129017701
535	0.5128843655
536	0.5128685693
537	0.5128546922
538	0.5128455891
539	0.5128352256
540	0.5128216145
541	0.5128077301
542	0.5127945701
543	0.5127816394
544	0.5127556508
545	0.5127478638
546	0.512736896
547	0.5127248908
548	0.5127152446
549	0.5127075172
550	0.5126982565
551	0.5126868458
552	0.5126731903
553	0.5126637866
554	0.5126489559
555	0.5126389948
556	0.5126291394
557	0.5126173633
558	0.5126060896
559	0.5125950689
560	0.5125770409
561	0.5125674455
562	0.5125590785
563	0.5125416328
564	0.512528697
565	0.512515244
566	0.5125070078
567	0.5124969774
568	0.5124865835
569	0.5124727616
570	0.5124631718
571	0.5124540283
572	0.5124372543
573	0.5124286696
574	0.5124168876
575	0.512404514
576	0.5123896332
577	0.5123772862
578	0.5123687824
579	0.5123512675
580	0.5123386549
581	0.5123283449
582	0.5123165528
583	0.5123059399
584	0.5122956889
585	0.5122842381
586	0.512273781
587	0.5122618728
588	0.51225217
589	0.5122408127
590	0.5122308831
591	0.5122181447
592	0.5122077884
593	0.5121940858
594	0.5121850588
595	0.5121738517
596	0.512157087
597	0.5121453853
598	0.5121377102
599	0.5121134415
600	0.5121052643
601	0.5120912807
602	0.5120807234
603	0.5120704857
604	0.5120520427
605	0.5120395475
606	0.5120262546
607	0.5120165345
608	0.5120055624
609	0.5119950088
610	0.5119814251
611	0.5119716705
612	0.5119456603
613	0.5119201674
614	0.5119109952
615	0.5119026965
616	0.5118890367
617	0.5118766719
618	0.5118645798
619	0.5118539399
620	0.5118432546
621	0.5118346415
622	0.5118225463
623	0.5117938845
624	0.5117818108
625	0.5117724086
626	0.5117644125
627	0.5117425956
628	0.5117284659
629	0.5117176824
630	0.5117077199
631	0.5116959148
632	0.5116862056
633	0.5116729385
634	0.5116592258
635	0.511647373
636	0.5116351791
637	0.5116269683
638	0.5116179876
639	0.5116061703
640	0.511598202
641	0.5115847109
642	0.5115773062
643	0.5115662962
644	0.5115568929
645	0.5115423765
646	0.511526783
647	0.5115173236
648	0.5115065392
649	0.5114979593
650	0.5114804714
651	0.5114742876
652	0.5114667988
653	0.5114584791
654	0.5114479355
655	0.5114418539
656	0.5114277337
657	0.511407861
658	0.5113988825
659	0.5113888879
660	0.5113776011
661	0.5113597832
662	0.5113415381
663	0.5113320871
664	0.5113245147
665	0.5113131923
666	0.511293271
667	0.5112675809
668	0.5112560431
669	0.5112447691
670	0.5112339319
671	0.511226634
672	0.5112181544
